original_name,size_bytes,sha256,decision,reason
cv ana bok.html,35466,24e14675c95d4df2,RESCUE,Feature-rich intermediate CV with localStorage; salvage selected interaction patterns.
cv ana cga.html,3583,3989b78edeafc1a4,ARCHIVE,Minimal toggle-only concept; too shallow to justify further development.
cv ana cgo.html,29102,319db9eafc3cdbbe,RESCUE,Clean intermediate CV/system presentation; useful for content structure.
cv ana dvt.html,93797,9f20b335ffea3321,DEVELOP NOW,"Most complete CV/system prototype: terminal, particles, theme controls, menu, achievements, notifications, contact UI. PWA paths/assets are incomplete, and contact submit is mock."
cv ana lon.html,25190,b30cf0bd783a4a0c,RESCUE,"Strong decision-system/identity content; useful conceptually, less useful as production code."
cv ana mmc.html,4002,21d1e1993f783c0c,ARCHIVE,Very small static dead end with no JS behavior; no reason to iterate.
cv ana pk.html,13656,bd53587f2bd2ea3a,RESCUE,"Step-based content/system prototype; preserve the interaction idea, not the whole page."
cv ana ppo.html,23799,25b4e81fd9d7ec46,RESCUE,Lean terminal/RPG presentation; useful visual references.
cv ana tt.html,16010,ede23d61bc5d494f,RESCUE,Useful command terminal/contact interaction experiment; not a complete portfolio.
cv ana.html,40034,e8e2a5d19d3f9917,RESCUE,"Best simple CV baseline; use for content and IA, not for production code."
eissa-card-main.zip,188,214b12b26ca69503,DUPLICATE,188-byte wrapper containing only an empty folder entry.
eissa_card.zip,4720,d4e7c9210375199d,ARCHIVE,Standalone early card build; superseded by index (2).html and later portfolio work.
fear.html,6536,da95223d364fd254,RESCUE,"Content prototype, not an app. Preserve content only; rebuild as data-driven module if needed."
founder.text,64024,197a0bd365376665,DEVELOP NOW,"Contains the richest game-design concept: 12 weeks, resources, events, mental states and scoring. Preserve as source-of-truth while redesigning rules."
full-editor.html,23695,2281e919eddfca6e,RESCUE,Useful RED visual/editor direction; better treated as a component/content source than a final application.
h.html,2984,7d8b44f2298563fe,ARCHIVE,Tiny one-interaction experiment; extract only if the exact microinteraction is needed.
index (1).html,39552,209edeace4ad9085,RESCUE,Older lion dashboard close to index2.html; useful as a reference but superseded by the newer version.
index (2).html,31792,6975df82c1593714,DEVELOP NOW,Cleanest older Eissa Card foundation; coherent sections and interactions; good base for the later editorial portfolio.
index.html,4602,35c63a62a6761cc5,ARCHIVE,"Basic static contact card, clearly superseded by the richer Eissa Card work."
index2.html,47001,df27d7b3246160d1,RESCUE,"Conceptually rich dashboard, but currently has a real JS syntax error and five duplicate IDs; repair before any visual iteration."
stats.html,4173,0c6f31d2753a772b,RESCUE,"Static RPG/stat planning document; keep as content source, not software."
stats2.html,4250,31acaea5b85d8bcf,RESCUE,Near-duplicate of stats.html; only keep the newer variant for content comparison.
test19.1.html,5414,c401906048cd7752,RESCUE,First working Three.js particle prototype; keep as historical base for the morph algorithm.
test19.2.html,26199,e8b23198fe246fad,RESCUE,Interesting particle-morph version but heavier and less focused than v3.
test19.3.html,26818,1802d44aeac67d3f,DEVELOP NOW,"Strongest particle experiment: starfield, glow ring, dynamic particle color, interaction and morphing. Excellent visual module candidate."
test19.4.html,6049,100baedf5702ef14,DEVELOP NOW,"Valuable Arabic-specific 3D typography experiment using opentype.js; promising specialized module, though CDN-dependent."
test19.html,3634,11b010d45b22f8df,RESCUE,Very early particle prototype; useful only if you need to trace the visual evolution.
ts.html,1006,4d5ebce3d3c880f7,ARCHIVE,Tiny hover-shake experiment; not a product foundation.
